Primary Type,Date,Count
ROBBERY,2006-12-31 00:00:00,15966
ROBBERY,2007-12-31 00:00:00,15450
ROBBERY,2008-12-31 00:00:00,16703
ROBBERY,2009-12-31 00:00:00,15978
ROBBERY,2010-12-31 00:00:00,14273
ROBBERY,2011-12-31 00:00:00,13979
ROBBERY,2012-12-31 00:00:00,13483
ROBBERY,2013-12-31 00:00:00,11821
ROBBERY,2014-12-31 00:00:00,9208
SEX OFFENSE,2003-12-31 00:00:00,1351
SEX OFFENSE,2004-12-31 00:00:00,1792
SEX OFFENSE,2005-12-31 00:00:00,1788
SEX OFFENSE,2006-12-31 00:00:00,1549
SEX OFFENSE,2007-12-31 00:00:00,1507
SEX OFFENSE,2008-12-31 00:00:00,1472
SEX OFFENSE,2009-12-31 00:00:00,1231
SEX OFFENSE,2010-12-31 00:00:00,1103
SEX OFFENSE,2011-12-31 00:00:00,1055
SEX OFFENSE,2012-12-31 00:00:00,1023
SEX OFFENSE,2013-12-31 00:00:00,987
SEX OFFENSE,2014-12-31 00:00:00,818
STALKING,2003-12-31 00:00:00,159
STALKING,2004-12-31 00:00:00,215
STALKING,2005-12-31 00:00:00,192
STALKING,2006-12-31 00:00:00,186
STALKING,2007-12-31 00:00:00,213
STALKING,2008-12-31 00:00:00,190
STALKING,2009-12-31 00:00:00,167
STALKING,2010-12-31 00:00:00,189
STALKING,2011-12-31 00:00:00,181
STALKING,2012-12-31 00:00:00,207
STALKING,2013-12-31 00:00:00,151
STALKING,2014-12-31 00:00:00,129
THEFT,2003-12-31 00:00:00,66090
THEFT,2004-12-31 00:00:00,95461
THEFT,2005-12-31 00:00:00,85683
THEFT,2006-12-31 00:00:00,86234
THEFT,2007-12-31 00:00:00,85152
THEFT,2008-12-31 00:00:00,88429
THEFT,2009-12-31 00:00:00,80969
THEFT,2010-12-31 00:00:00,76739
THEFT,2011-12-31 00:00:00,75129
THEFT,2012-12-31 00:00:00,75435
THEFT,2013-12-31 00:00:00,71475
THEFT,2014-12-31 00:00:00,58131
WEAPONS VIOLATION,2003-12-31 00:00:00,2740
WEAPONS VIOLATION,2004-12-31 00:00:00,4297
WEAPONS VIOLATION,2005-12-31 00:00:00,4106
WEAPONS VIOLATION,2006-12-31 00:00:00,3820
WEAPONS VIOLATION,2007-12-31 00:00:00,3554
WEAPONS VIOLATION,2008-12-31 00:00:00,3877
WEAPONS VIOLATION,2009-12-31 00:00:00,4158
WEAPONS VIOLATION,2010-12-31 00:00:00,3703
WEAPONS VIOLATION,2011-12-31 00:00:00,3879
WEAPONS VIOLATION,2012-12-31 00:00:00,3900
WEAPONS VIOLATION,2013-12-31 00:00:00,3246
WEAPONS VIOLATION,2014-12-31 00:00:00,2955
